-[ RECORD 1 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-21331-727458
job_title                      | COMPUTER SYSTEMS ANALYST
employer_name                  | KSM TECHNOLOGIES LLC
secondary_entity_business_name | DEPARTMENT OF JUSTICE MOTOR VEHICLE DIVISION
employer_poc_email             | HR@KSMTECHNOLOGIES.NET
employer_poc_phone             | 19739360107
employer_poc_first_name        | SHEBA
employer_poc_last_name         | KANCHARLAPALLI
worksite_address1              | 215 NORTH SANDER STREET
worksite_address2              | 
worksite_city                  | HELENA
worksite_county                | LEWIS AND CLARK
lawfirm_name_business_name     | 
employer_address1              | 2001 US ROUTE 45
employer_address2              | SUITE 310
employer_city                  | PARSIPPANY
employer_state                 | NJ
employer_postal_code           | 07054
begin_date                     | 12/1/2021
end_date                       | 11/30/2024
total_worker_positions         | 1
soc_code                       | 15-1121.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-23061-819234
job_title                      | SOFTWARE DEVELOPER/GUIDEWIRE DEVELOPER
employer_name                  | GANNU SOFTWARE INC
secondary_entity_business_name | MONTANA STATE FUND
employer_poc_email             | IMMIGRATIONS@GANNUSOFTWARE.COM
employer_poc_phone             | 16302702104
employer_poc_first_name        | DHRUV
employer_poc_last_name         | PATEL
worksite_address1              | 855 FRONT ST
worksite_address2              | 
worksite_city                  | HELENA
worksite_county                | LEWIS AND CLARK
lawfirm_name_business_name     | 
employer_address1              | 120 W GOLF ROAD
employer_address2              | SUITE 100A
employer_city                  | SCHAUMBURG
employer_state                 | IL
employer_postal_code           | 60195
begin_date                     | 4/3/2023
end_date                       | 4/2/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-23060-814910
job_title                      | SOFTWARE DEVELOPER/GUIDEWIRE DEVELOPER
employer_name                  | GANNU SOFTWARE INC
secondary_entity_business_name | MONTANA STATE FUND
employer_poc_email             | IMMIGRATIONS@GANNUSOFTWARE.COM
employer_poc_phone             | 16302702104
employer_poc_first_name        | DHRUV
employer_poc_last_name         | PATEL
worksite_address1              | 855 FRONT ST
worksite_address2              | 
worksite_city                  | HELENA
worksite_county                | LEWIS AND CLARK
lawfirm_name_business_name     | 
employer_address1              | 120 W GOLF ROAD
employer_address2              | SUITE 100A
employer_city                  | SCHAUMBURG
employer_state                 | IL
employer_postal_code           | 60195
begin_date                     | 8/31/2023
end_date                       | 8/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-22287-531662
job_title                      | SOFTWARE DEVELOPER/SOFTWARE SOLUTION ARCHITECT
employer_name                  | SAVVY INFO SYSTEMS INC
secondary_entity_business_name | MONTANA STATE FUND
employer_poc_email             | IMMIGRATIONS@SAVVYINFOSYSTEMS.COM
employer_poc_phone             | 18473102630
employer_poc_first_name        | PRAVEEN KUMAR
employer_poc_last_name         | KOTHAKONDA
worksite_address1              | 855 FRONT ST
worksite_address2              | 
worksite_city                  | HELENA
worksite_county                | LEWIS AND CLARK
lawfirm_name_business_name     | 
employer_address1              | 120 W GOLF ROAD
employer_address2              | SUITE 200
employer_city                  | SCHAUMBURG
employer_state                 | IL
employer_postal_code           | 60195
begin_date                     | 10/31/2022
end_date                       | 10/30/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-22224-414765
job_title                      | SOFTWARE DEVELOPER
employer_name                  | SAVVY INFO SYSTEMS INC
secondary_entity_business_name | MONTANA STATE FUND
